Comment ID,no.,Comment Text,Themes,Sentiment,Emotion Detection ,Tone,Does the comment mention specific media content? 0 = No 1 = Yes,- If Y: what content?,- If Y: what is the general attitude toward this media content? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear,"- - If positive, what does the author like about this content? ","- - If negative, what does the author dislike about this content? ",Does the comment mention gender or gender roles? 0 = No 1 = Yes,- If Y: How would you characterize the gender roles? 1= Women do domestic/care work; 2=Women have limited economic freedom; 3= Women have limited leadership; 4=Women are in subservient roles; 5=Women do not discuss sex or reproductive health; 5=Men are sexual aggressors; 6=Men are leaders; 7=Men are violent; 8=Men are primary breadwinners,- If Y: name any other gender themes and topics addressed in the comment: ,- If Y: What is the general attitude expressed toward discussed gender norms? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear ,- If Y: What is the general attitude expressed toward women? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear  ,"- If Y: Does the comment use collective framing (“we,” “our society,” “everyone knows”) or individual framing (“I,” “my experience”) in discussing gender/gender roles? 1 = Collective, 2 = Individual, 3 = Can't tell/Does not apply","- If Y: Does the comment contest or reproduce cultural stereotypes around gender? 0 = Contest, 1 = Reproduce, 3 = Unclear/Neither","Does the comment mention race, ethnicity, nationality, language, or caste in relation to the media content ? 0 = No 1 = Yes","- If Y,  which? _____","- If Y: What is the general attitude expressed toward this race, ethnicity, nationality, or language? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear  ",Does the comment include any sexist or derogatory language?,"- If Y,  provide a quote","What emotions does the comment generally contain? 1=Contempt, 2=Anger,  3=Disgust, 4=Sadness, 5=Shame, 6=Embarrassment, 7=Guilt, 8=Compassion, 9=Pride, 10=No emotion","What emotions does the author express toward the media content? 1=Contempt, 2=Anger,  3=Disgust, 4=Sadness, 5=Shame, 6=Embarrassment, 7=Guilt, 8=Compassion, 9=Pride, 10=No emotion",Does the comment indicate that the author acquired new knowledge or information by watching?  0 = No 1 = Yes,- If Y: what did they learn?,Did the comment indicate that the author had existing knowledge reinforced by watching? 0 = No 1 = Yes,- If Y: what knowledge or information was reinforced?,Are there any calls to action in the comment (telling readers to do something)?  0 = No 1 = Yes,"- If Y, what is it calling readers to do?","Does the author share any information in the comment (e.g., share a fact, a link)? 0 = No 1 = Yes","- If Y, what information is shared?","Does the author advocate for anything in the comment (e.g., support a cause)? 0 = No 1 = Yes","- If Y, what do they advocate for?","Does the author correct any information in the comment (e.g., say that something is incorrect)? 0 = No 1 = Yes","- If Y, what do they correct?","Does the comment's author identify themselves in any way (name their gender, profession, location, etc)?  0 = No 1 = Yes","- If Y,  is profession mentioned?  0 = No 1 = Yes","- - If Y, what is the profession?","- If Y, is location mentioned?  0 = No 1 = Yes","- - If Y, what is the location?","- If Y, is race/ethnicity mentioned?  0 = No 1 = Yes","- - If Y, what is the location?","- If Y, is gender mentioned?  0 = No 1 = Yes","- - If Y, what gender?        1=Female, 2=Male, 3=Non-binary                                                                                                                                                                                                ",Notes
1.83E+18,11,"@nini_seekane No these women planned to gang up against her! Just like they did Sonal last season! She's been called a murderer, a witch, a prostitute! She had no option but to defend herself! #RHONairobi","Interpersonal Conflict, Bullying, and Aggression (11)",Negative (11),The emotion expressed in this comment is anger and defensiveness. (11),Defensive / Justifying (11),1 (11),RHONairobi cast bullying storyline (11),4 (11),– (11),"Bullying, extreme accusations, and gang-up behavior (11)",1 (11),4 (11),Collective bullying and scapegoating of women (11),3 (11),4 (11),1 (11),0 (11),0 (11),– (11),– (11),1 (11),"“murderer, a witch, a prostitute” (11)",8 (11),8 (11),0 (11),– (11),1 (11),Reinforced belief that certain cast members are routinely targeted and scapegoated (11),0 (11),– (11),1 [11],Shares accusations previously made against a cast member (11),0 (11),– (11),0 (11),– (11),0 (11),,,,,,,,,
1.83E+18,12,This season was literally all about forming alliances and hanging up on someone 🙄no storyline whatsoever very boring and childish season even the reunion oldage women screaming at each other 🙄#RHONairobi,"Production, Casting, and Franchise Critique (12)",Negative (12),The emotion expressed in this comment is disappointment and boredom. (12),Dismissive / Critical (12),1 (12),RHONairobi Season 2 alliances / reunion (12),3 (12),– (12),"No storyline, childish alliances, excessive fighting (12)",1 (12),3 (12),Female alliances and social exclusion (12),3 (12),3 (12),1 (12),0 (12),0 (12),– (12),– (12),1 (12),“boring and childish… oldage women screaming” (12),1 (12),1 (12),0 (12),– (12),1 (12),Reinforced belief that alliances and bullying dominate the season’s narrative (12),0 (12),– (12),0 [12],– (12),1 (12),Advocates criticism of alliance-based bullying and poor storytelling (12),0 (12),– (12),0 (12),,,,,,,,,
1.82E+18,13,"Last season Minne shown throughout the season, we loved her. But this season we realized she’s actually a mean girl and it was pretentious of her to say she supports women while all along she has been body shaming the ladies, casually throwing racism and ageism there #RHONairobi","Gender Norms, Respectability, and Womanhood (13)",Negative (13),The emotion expressed in this comment is anger and betrayal. (13),Critical / Accusatory (13),1 (13),RHONairobi Season comparison (Minne) (13),3 (13),– (13),Hypocrisy around supporting women; body shaming and racism (13),1 (13),4 (13),Hypocrisy in feminist self-presentation (13),3 (13),3 (13),2 (13),0 (13),0 (13),– (13),– (13),1 (13),“mean girl… body shaming… racism and ageism” (13),2 (13),2 (13),1 (13),Learned that Minne’s public persona differs from her behavior this season (13),1 (13),Reinforced belief that Minne’s “pro-women” stance is performative rather than genuine (13),0 (13),– (13),1 [13],Shares observation comparing Minne’s behavior across seasons (13),0 (13),– (13),0 (13),– (13),0 (13),,,,,,,,,
1.82E+18,14,"Charles is the first husband to be invited to the reunion on any African real housewives franchise , I stand to be corrected though but listen this man supports his wife hey 🔥🔥🔥🔥 #RHONairobi","Positive Identification, Praise, and Aspiration (14)",Positive (14),The emotion expressed in this comment is pride and appreciation. (14),Supportive / Admiring (14),1 (14),RHONairobi reunion / husbands on show (14),1 (14),Supportive husband and positive male involvement (14),– (14),1 (14),"6,8 (14)",Male allyship and supportive husband narrative (14),1 (14),1 (14),2 (14),0 (14),0 (14),– (14),– (14),0 (14),– (14),9 (14),9 (14),0 (14),– (14),0 (14),– (14),0 (14),– (14),1 [14],Shares factual claim about a husband attending the reunion (14),1 (14),Advocates recognition and praise for supportive husbands (14),1 (14),"Clarifies that this may be the first African Real Housewives reunion to invite a husband, while acknowledging possible exceptions (14)",0 (14),,,,,,,,,
1.82E+18,15,Minne came with her rehearsed PR trained apology. You do not support women! I could never support women and even dream about uttering half of the things you did #RHONairobi,"Gender Norms, Respectability, and Womanhood (15)",Negative (15),The emotion expressed in this comment is anger and moral outrage. (15),Accusatory / Moralizing (15),1 (15),RHONairobi apology scene (Minne) (15),3 (15),– (15),"Insincere, PR-driven apology and lack of accountability (15)",1 (15),4 (15),Performative feminism and PR apologies (15),3 (15),3 (15),2 (15),0 (15),0 (15),– (15),– (15),1 (15),“rehearsed PR trained apology… You do not support women!” (15),2 (15),2 (15),0 (15),– (15),1 (15),Reinforced belief that apologies on the show are strategic rather than sincere (15),0 (15),– (15),0 [15],– (15),0 (15),– (15),0 (15),– (15),0 (15),,,,,,,,,
1.82E+18,16,Minne saying she's pro women &amp; supports women is the biggest load of crap she's spewed all season. That apology is not from remorse. It's from trying to keep her social media followers. #RHONairobi,"Gender Norms, Respectability, and Womanhood (16)",Negative (16),The emotion expressed in this comment is anger and cynicism. (16),Cynical / Dismissive (16),1 (16),RHONairobi apology narrative (16),3 (16),– (16),Performative feminism and fake remorse (16),1 (16),4 (16),Social media clout over genuine accountability (16),3 (16),3 (16),2 (16),0 (16),0 (16),– (16),– (16),1 (16),“biggest load of crap” (16),2 (16),2 (16),0 (16),– (16),1 (16),Reinforced belief that public accountability among the cast is lacking (16),0 (16),– (16),0 [16],– (16),0 (16),– (16),0 (16),– (16),0 (16),,,,,,,,,
1.82E+18,17,Grown women arguing on TV about who owns what and who lives how/where is very very yuck! Haiiii! Kumbe appearances hii town ni kazi kubwa hivi... 😭😭😭 #RHONairobi,"Gender Norms, Respectability, and Womanhood (17)",Negative (17),The emotion expressed in this comment is disgust and embarrassment. (17),Disapproving / Judgmental (17),1 (17),RHONairobi interpersonal conflicts (17),3 (17),– (17),Petty material arguments and shallow values (17),1 (17),3 (17),Materialism and class signaling among women (17),3 (17),3 (17),1 (17),1 (17),0 (17),– (17),– (17),1 (17),“very very yuck” (17),3 (17),3 (17),0 (17),– (17),1 (17),Reinforced belief that materialism and status competition drive conflict (17),0 (17),– (17),0 [17],– (17),0 (17),– (17),0 (17),– (17),0 (17),,,,,,,,,
1.82E+18,18,The tension between Minnie and Zena is so thick! You can’t even cut it with a knife 😂 #RHONairobi,"Interpersonal Conflict, Bullying, and Aggression (18)",Neutral (18),The emotion expressed in this comment is amusement and anticipation. (18),Playful / Observational (18),1 (18),RHONairobi cast tension (Minne vs Zena) (18),2 (18),– (18),– (18),1 (18),– (18),Female rivalry and interpersonal tension (18),2 (18),2 (18),3 (18),3 (18),0 (18),– (18),– (18),0 (18),– (18),10 (18),10 (18),0 (18),– (18),0 (18),– (18),0 (18),– (18),0 [18],– (18),0 (18),– (18),0 (18),– (18),0 (18),,,,,,,,,
1.82E+18,19,Do you guys see why I say that Dr. C is the best housewife on this show?? The way she brought out that Pandora's box with all the documents just to prove her point. That’s how a housewife behaves #RHONairobi,"Positive Identification, Praise, and Aspiration (19)",Positive (19),The emotion expressed in this comment is admiration and confidence. (19),Admiring / Affirmative (19),1 (19),RHONairobi cast behavior (Dr C documents) (19),1 (19),"Dr C’s assertiveness, preparedness, and strong performance (19)",– (19),1 (19),6 (19),Women’s competence and authority validation (19),1 (19),1 (19),2 (19),0 (19),0 (19),– (19),– (19),0 (19),– (19),9 (19),9 (19),0 (19),– (19),1 (19),Reinforced belief that Dr. C performs strength and dominance effectively on the show (19),0 (19),– (19),0 [19],– (19),1 (19),Advocates recognition of Dr. C as a strong/ideal housewife (19),0 (19),– (19),0 (19),,,,,,,,,
1.82E+18,20,Ummmmm I don't know about Fareed hosting skills on #RHONairobi reunion 😬😬 it's not giving what it's supposed to ! And he's literally struggling to control the narrative and these women ..,"Production, Casting, and Franchise Critique (20)",Negative (20),The emotion expressed in this comment is disappointment and concern. (20),Critical / Skeptical (20),1 (20),RHONairobi reunion host (Fareed) (20),3 (20),– (20),Weak hosting and inability to control cast (20),1 (20),6 (20),Male authority in moderating female conflict (20),3 (20),3 (20),2 (20),0 (20),0 (20),– (20),– (20),0 (20),– (20),6 (20),6 (20),1 (20),Learned that Fareed struggled to control the reunion discussion (20),1 (20),Reinforced belief that the reunion host failed to manage conflict effectively (20),0 (20),– (20),0 [20],– (20),1 (20),Advocates better moderation and hosting at the reunion (20),0 (20),– (20),0 (20),,,,,,,,,
1.82E+18,21,Zenah was baptised by fire in the wrong way. You don't get into a show and immediately find an alliance. These girls switch very fast. As a newbie you're better off fence sitting and watching a stronger side. #RHONairobi,"Production, Casting, and Franchise Critique (21)",Neutral (21),The emotion expressed in this comment is neutrality and caution. (21),Advisory / Observational (21),1 (21),RHONairobi newcomer dynamics (Zena) (21),2 (21),– (21),– (21),1 (21),3 (21),Survival strategies for women in hostile groups (21),2 (21),2 (21),2 (21),3 (21),0 (21),– (21),– (21),0 (21),– (21),4 (21),4 (21),0 (21),– (21),1 (21),Reinforced belief that newcomers struggle due to unstable alliances (21),0 (21),– (21),0 [21],– (21),0 (21),– (21),0 (21),– (21),0 (21),,,,,,,,,
1.82E+18,22,"Boity must NOT want to get married because there is no way, men are not asking. This woman is drop dead gorgeous. WHAT. Who wouldn't want this as his wife? But let me read my books chile. You can join me by following the link below

#RHONairobi Buhle #AskAMan Nhlamulo Zulus Emtee https://t.co/lYP4xIZqlP","Gender Norms, Respectability, and Womanhood (22)",Neutral (22),The emotion expressed in this comment is admiration and curiosity. (22),Flirtatious / Playful (22),0 (22),– (22),– (22),– (22),– (22),1 (22),4 (22),Marriageability tied to beauty and youth (22),3 (22),3 (22),2 (22),1 (22),0 (22),– (22),– (22),0 (22),– (22),10 (22),10 (22),0 (22),– (22),0 (22),– (22),1 (22),Encourages readers to follow a link / join a discussion (22),1 [22],Shares a link and invites readers to follow or join discussion (22),0 (22),– (22),0 (22),– (22),0 (22),,,,,,,,,
1.82E+18,23,@ShowmaxOnline you guys are cutesy and definitely not demure 🤢#Rhonairobi https://t.co/FDq4sGNGT9,"Production, Casting, and Franchise Critique (23)",Negative (23),The emotion expressed in this comment is disgust and disdain. (23),Sarcastic / Disgusted (23),1 (23),RHONairobi / Showmax branding (23),3 (23),– (23),Branding tone seen as distasteful or annoying (23),1 (23),– (23),Brand tone vs femininity expectations (23),2 (23),2 (23),2 (23),3 (23),0 (23),– (23),– (23),1 (23),“not demure 🤢” (23),3 (23),3 (23),0 (23),– (23),0 (23),– (23),0 (23),– (23),1 [23],Shares a link expressing dislike toward the platform/show (23),0 (23),– (23),0 (23),– (23),0 (23),,,,,,,,,
1.82E+18,24,"The second reunion of #RHONairobi drops tomorrow. Kuna mtu anajua kumake entrance kama Vera? #RHON S2 #Housewives #Showmax 
https://t.co/yl9qpsz5Xa https://t.co/zIHsNVfguy","Production, Casting, and Franchise Critique (24)",Neutral (24),The emotion expressed in this comment is anticipation and excitement. (24),Promotional / Anticipatory (24),1 (24),RHONairobi reunion promo (24),2 (24),– (24),– (24),1 (24),– (24),Media anticipation and spectacle (24),2 (24),2 (24),3 (24),3 (24),0 (24),– (24),– (24),0 (24),– (24),10 (24),10 (24),0 (24),– (24),0 (24),– (24),0 (24),– (24),1 [24],Shares information about reunion timing and includes links (24),0 (24),– (24),0 (24),– (24),0 (24),,,,,,,,,
1.82E+18,25,"Nobody is coming to save you. You have to wake yourself up. It is one moment in time you need to do that is going to define your destiny~ Dr.@catherinmasitsa 

Host: @CathMwangi
Producer: @alangomillicent 

#RHONairobi #WhatsYourStory #KTNWelcomeHome https://t.co/iqEBQQHY9b","Positive Identification, Praise, and Aspiration (25)",Positive (25),The emotion expressed in this comment is encouragement and optimism. (25),Motivational / Inspirational (25),0 (25),– (25),– (25),– (25),– (25),1 (25),6 (25),Women’s self-help and empowerment rhetoric (25),1 (25),1 (25),3 (25),0 (25),0 (25),– (25),– (25),0 (25),– (25),9 (25),9 (25),0 (25),– (25),0 (25),– (25),0 (25),– (25),1 [25],Shares a motivational quote and media credits (25),1 (25),Advocates self-empowerment and personal responsibility (25),0 (25),– (25),0 (25),,,,,,,,,
1.82E+18,26,Nikimalizana na serikali sasa real housewives of nairobi watatuambia why they platform bullies and people with bad wigs,"Production, Casting, and Franchise Critique (26)",Negative (26),The emotion expressed in this comment is cynicism and frustration. (26),Critical / Cynical (26),1 (26),RHONairobi production choices (26),3 (26),– (26),Platforming bullies and poor production choices (26),1 (26),3 (26),Platforming bullies in women-centered media (26),3 (26),3 (26),1 (26),0 (26),0 (26),– (26),– (26),1 (26),“platform bullies and people with bad wigs” (26),2 (26),2 (26),0 (26),– (26),1 (26),Reinforced belief that production platforms bullying behavior (26),0 (26),– (26),0 [26],– (26),1 (26),Advocates accountability from producers for platforming bullies (26),0 (26),– (26),0 (26),,,,,,,,,
1.82E+18,27,"@Create-d6i   we've heard you... protector of the oppressed, omuwanika, madam parliament, Mrs. Boniface mwangi, Madam Eric omondi, muteti....kama anakaa fossil, ata umpake mafuta aje hatanona","Gender Norms, Respectability, and Womanhood (27)",Negative (27),The emotion expressed in this comment is contempt and mockery. (27),Sarcastic / Mocking (27),0 (27),– (27),– (27),– (27),– (27),1 (27),– (27),Ageism and political ridicule (27),2 (27),2 (27),1 (27),3 (27),0 (27),– (27),– (27),1 (27),“kama anakaa fossil” (27),1 (27),1 (27),0 (27),– (27),1 (27),Reinforced belief that public figures are often performative and hypocritical (27),0 (27),– (27),0 [27],– (27),0 (27),– (27),0 (27),– (27),0 (27),,,,,,,,,
1.82E+18,28,"Such a flop..violent women, no class, forced drama plus not the real representation the ladies in Nairobi...I preffered the cast on Sn1. Dr.C is cool #RHONairobi #RealHouseWivesofNairobi","Gender Norms, Respectability, and Womanhood (28)",Negative (28),The emotion expressed in this comment is disappointment and disapproval. (28),Dismissive / Condemning (28),1 (28),RHONairobi Season comparison / casting (28),3 (28),– (28),"Violence, lack of class, forced drama (28)",1 (28),3 (28),Violent femininity and class anxiety (28),3 (28),3 (28),2 (28),1 (28),0 (28),– (28),– (28),1 (28),"“violent women, no class, forced drama” (28)",3 (28),3 (28),0 (28),– (28),1 (28),Reinforced belief that the show misrepresents Nairobi women as violent and classless (28),0 (28),– (28),0 [28],– (28),1 (28),"Advocates rejection of violent, low-class representation on the show (28)",0 (28),– (28),0 (28),,,,,,,,,
